epoch,step,test/acc,test/loss,train/acc,train/loss,train/loss_step,val/acc,val/loss
0,49,,,,,0.4320383667945862,,
0,99,,,,,0.4305088520050049,,
0,116,,,,,,0.7694235444068909,0.5402531027793884
0,116,,,0.7481243014335632,0.5770058035850525,,,
1,149,,,,,0.49126312136650085,,
1,199,,,,,0.6016689538955688,,
1,233,,,,,,0.7694235444068909,0.5431285500526428
1,233,,,0.7491961121559143,0.5649586319923401,,,
2,249,,,,,0.4158633351325989,,
2,299,,,,,0.5533304214477539,,
2,349,,,,,0.5677739381790161,,
2,350,,,,,,0.7694235444068909,0.5409709811210632
2,350,,,0.7491961121559143,0.5650594830513,,,
3,399,,,,,0.6312488317489624,,
3,449,,,,,0.5775161981582642,,
3,467,,,,,,0.7694235444068909,0.5411919355392456
3,467,,,0.7491961121559143,0.563994288444519,,,
4,499,,,,,0.8390527963638306,,
4,549,,,,,0.5047272443771362,,
4,584,,,,,,0.7694235444068909,0.5407713651657104
4,584,,,0.7491961121559143,0.5658174157142639,,,
5,599,,,,,0.3479783535003662,,
5,649,,,,,0.6809306740760803,,
5,699,,,,,0.488760769367218,,
5,701,,,,,,0.7694235444068909,0.540890634059906
5,701,,,0.7491961121559143,0.5642604231834412,,,
6,749,,,,,0.6305869817733765,,
6,799,,,,,0.796670138835907,,
6,818,,,,,,0.7694235444068909,0.5424253344535828
6,818,,,0.7491961121559143,0.5633566975593567,,,
7,849,,,,,0.5221940875053406,,
7,899,,,,,0.38640594482421875,,
7,935,,,,,,0.7694235444068909,0.5393756628036499
7,935,,,0.7491961121559143,0.5626595616340637,,,
8,949,,,,,0.7194052338600159,,
8,999,,,,,0.3882405161857605,,
8,1049,,,,,0.8325439691543579,,
8,1052,,,,,,0.7694235444068909,0.546886146068573
8,1052,,,0.7491961121559143,0.5640550851821899,,,
9,1099,,,,,0.720943808555603,,
9,1149,,,,,0.44998598098754883,,
9,1169,,,,,,0.7694235444068909,0.5393602848052979
9,1169,,,0.7491961121559143,0.5648986101150513,,,
10,1199,,,,,0.6296031475067139,,
10,1249,,,,,0.4314579665660858,,
10,1286,,,,,,0.7694235444068909,0.5394318699836731
10,1286,,,0.7491961121559143,0.5664663910865784,,,
11,1299,,,,,0.5432313680648804,,
11,1349,,,,,0.4930706024169922,,
11,1399,,,,,0.48377397656440735,,
11,1403,,,,,,0.7694235444068909,0.5411210656166077
11,1403,,,0.7491961121559143,0.5634195804595947,,,
12,1449,,,,,0.8142701387405396,,
12,1499,,,,,0.7951653003692627,,
12,1520,,,,,,0.7694235444068909,0.5501399636268616
12,1520,,,0.7491961121559143,0.5675480961799622,,,
13,1549,,,,,0.5587201714515686,,
13,1599,,,,,0.5624393224716187,,
13,1637,,,,,,0.7694235444068909,0.5412610173225403
13,1637,,,0.7491961121559143,0.5652604103088379,,,
14,1649,,,,,0.4834967851638794,,
14,1699,,,,,0.5402626395225525,,
14,1749,,,,,0.5751919150352478,,
14,1754,,,,,,0.7694235444068909,0.5390262603759766
14,1754,,,0.7491961121559143,0.5641515254974365,,,
15,1799,,,,,0.49241793155670166,,
15,1849,,,,,0.5456833839416504,,
15,1871,,,,,,0.7694235444068909,0.5468630194664001
15,1871,,,0.7491961121559143,0.5698659420013428,,,
16,1899,,,,,0.48922938108444214,,
16,1949,,,,,0.69818514585495,,
16,1988,,,,,,0.7694235444068909,0.539182722568512
16,1988,,,0.7491961121559143,0.5642718076705933,,,
17,1999,,,,,0.4218601584434509,,
17,2049,,,,,0.433808833360672,,
17,2099,,,,,0.5693406462669373,,
17,2105,,,,,,0.7694235444068909,0.540195643901825
17,2105,,,0.7491961121559143,0.5641313791275024,,,
18,2149,,,,,0.5089993476867676,,
18,2199,,,,,0.42252275347709656,,
18,2222,,,,,,0.7694235444068909,0.5388955473899841
18,2222,,,0.7491961121559143,0.5639584064483643,,,
19,2249,,,,,0.42384961247444153,,
19,2299,,,,,0.48648133873939514,,
19,2339,,,,,,0.7694235444068909,0.5432448387145996
19,2339,,,0.7491961121559143,0.5640988945960999,,,
20,2349,,,,,0.5447810888290405,,
20,2399,,,,,0.4827236831188202,,
20,2449,,,,,0.6334238648414612,,
20,2456,,,,,,0.7694235444068909,0.5395259857177734
20,2456,,,0.7491961121559143,0.5648831129074097,,,
21,2499,,,,,0.47841107845306396,,
21,2549,,,,,0.4144290089607239,,
21,2573,,,,,,0.7694235444068909,0.5426014065742493
21,2573,,,0.7491961121559143,0.5633107423782349,,,
22,2599,,,,,0.46881645917892456,,
22,2649,,,,,0.6153205633163452,,
22,2690,,,,,,0.7694235444068909,0.5426322221755981
22,2690,,,0.7491961121559143,0.564864456653595,,,
23,2699,,,,,0.5528371334075928,,
23,2749,,,,,0.4892350435256958,,
23,2799,,,,,0.6890000104904175,,
23,2807,,,,,,0.7694235444068909,0.5452108979225159
23,2807,,,0.7491961121559143,0.5643540024757385,,,
24,2849,,,,,0.4833431839942932,,
24,2899,,,,,0.5650313496589661,,
24,2924,,,,,,0.7694235444068909,0.5434501767158508
24,2924,,,0.7491961121559143,0.5634818077087402,,,
25,2949,,,,,0.6410106420516968,,
25,2999,,,,,0.34158623218536377,,
25,3041,,,,,,0.7694235444068909,0.5405380725860596
25,3041,,,0.7491961121559143,0.5661314725875854,,,
26,3049,,,,,0.3286937177181244,,
26,3099,,,,,0.4902650713920593,,
26,3149,,,,,0.3616904616355896,,
26,3158,,,,,,0.7694235444068909,0.5401192307472229
26,3158,,,0.7491961121559143,0.5648155212402344,,,
27,3199,,,,,0.4999823570251465,,
27,3249,,,,,0.4950779676437378,,
27,3275,,,,,,0.7694235444068909,0.5401093363761902
27,3275,,,0.7491961121559143,0.5649166703224182,,,
28,3299,,,,,0.6333991289138794,,
28,3349,,,,,0.493233859539032,,
28,3392,,,,,,0.7694235444068909,0.5438408851623535
28,3392,,,0.7491961121559143,0.5644198656082153,,,
29,3393,0.7343358397483826,0.5782765746116638,,,,,
