epoch,step,test/acc,test/loss,test/precision,test/recall,train/loss,train/loss_step,val/acc,val/loss,val/precision,val/recall
0,49,,,,,,0.49455899000167847,,,,
0,99,,,,,,0.5270551443099976,,,,
0,116,,,,,,,0.7844611406326294,0.5974330902099609,0.7506493330001831,0.5478331446647644
0,116,,,,,0.5242894291877747,,,,,
1,149,,,,,,0.3138197660446167,,,,
1,199,,,,,,0.4531925916671753,,,,
1,233,,,,,,,0.8020049929618835,0.43086618185043335,0.7236841917037964,0.6543867588043213
1,233,,,,,0.476203590631485,,,,,
2,249,,,,,,0.5656428337097168,,,,
2,299,,,,,,0.42619588971138,,,,
2,349,,,,,,0.43087780475616455,,,,
2,350,,,,,,,0.8095238208770752,0.4215216636657715,0.7348880767822266,0.6783033609390259
2,350,,,,,0.4678402543067932,,,,,
3,399,,,,,,0.6143146753311157,,,,
3,449,,,,,,0.2923184931278229,,,,
3,467,,,,,,,0.8045112490653992,0.4338362216949463,0.7232972383499146,0.694076657295227
3,467,,,,,0.45552653074264526,,,,,
4,499,,,,,,0.5683785080909729,,,,
4,549,,,,,,0.4306488335132599,,,,
4,584,,,,,,,0.8095238208770752,0.4149347245693207,0.7383203506469727,0.6668850183486938
4,584,,,,,0.4602597653865814,,,,,
5,599,,,,,,0.33564987778663635,,,,
5,649,,,,,,0.37592005729675293,,,,
5,699,,,,,,0.666892409324646,,,,
5,701,,,,,,,0.7994987368583679,0.4182327091693878,0.7259823083877563,0.6299213767051697
5,701,,,,,0.45636457204818726,,,,,
6,749,,,,,,0.48925715684890747,,,,
6,799,,,,,,0.36309200525283813,,,,
6,818,,,,,,,0.8095238208770752,0.4644864797592163,0.7369338274002075,0.7696502208709717
6,818,,,,,0.4477912187576294,,,,,
7,849,,,,,,0.41954338550567627,,,,
7,899,,,,,,0.7332531213760376,,,,
7,935,,,,,,,0.7944862246513367,0.48475074768066406,0.7313947677612305,0.5962151288986206
7,935,,,,,0.4470304548740387,,,,,
8,936,0.7518796920776367,0.564603865146637,0.6832417845726013,0.5751658082008362,,,,,,
